emoji,keywords_ka,keywords_en
🐠,აკვარიუმი|თევზი|ტროპიკული თევზი|ნემო|ზღვის თევზი|მარჯანი|ფერადი თევზი|ზღვა,tropical fish|fish|reef|reefs|aquarium|fishermen|clownfish|goldfish|guppy|tang|fishing|sea|colorful|kelp|swimmers|fishmonger|tanks|anemone|coral|corals|rays|seas|snorkeling|ocean|plankton|snapper|starfish|atolls|lagoons|seaweed|seaweeds|swim|swimming|tropical|nemo
🐡,ნემსთევზა|ზღარბთევზა|შხამიანი|ეკლიანი თევზი|ნემსისებრი თევზი|აკვარიუმი|გასიებული|ფუგუ|თევზი|ეკლებიანი,blowfish|fish|pufferfish|sea|reef|reefs|spiky|sea urchin|sea urchins|ocean|puff|spike|spikes
🦈,ზვიგენი|საშიში|ოკეანე|აკულა|თეთრი ზვიგენი|საზღვაო|ბიზნესი|სტარტაპი|მტაცებელი|ზღვა,shark|ocean|bull shark|great white|hammerhead|megalodon|nurse shark|tiger shark|whale shark|predator|danger|jaws|denizens|scary|fish|oceans|aquarium|finance|business|biting
🐙,რვაფეხა|ზღვის პროდუქტები|ზღვა|კალმარი|კრაკენი|წყალქვეშა ნავი|ოკეანე|საცეცები,octopus|squid|sea|tentacles|mollusk|mollusks|marine|kraken|anemone|coral|corals|reefs|sea urchin|sea urchins|snorkeling|alien|submarine|ocean|creature|creatures|monstrous|animal
🐚,ნიჟარა|ზღვა|პლაჟი|აკვარიუმი|ვარსკვლავა|ხმა,spiral shell|shell|spiral|starfish|snail|clam|mollusk|mollusks|sea shell|shelled|shells|beach|seashell|curios|pearl|fossil|ocean|sea|carvings|anemone|atolls|coral|corals|mermaid|merman|reefs|sea urchin|sea urchins|snorkeling|conch
🪸,მარჯანი|ოკეანე|რიფი|წყალმცენარე|კლიმატი,coral|ocean|reef|anemone|corals|reefs|marine|sea
🪼,მედუზა|ზღვა|შხამიანი|წყალი|ოკეანე,jellyfish|sea|sting|burn|invertebrate|ocean|jelly|marine|swim|ouch|stinger
🐌,ლოკოკინა|ნელი|ლაგი|მე|ნიჟარა,snail|slow|shell|sliding|slime|garden|slug|mollusk|mollusks|animal
🦋,პეპელა|მწერი|გაზაფხული|სილამაზე|აბრეშუმი|ტრანსფორმაცია|სინაზე|სიყვარული|ბაღი|მაისი|მუცელში|ლამაზი,butterfly|insect|beautiful|delicate|reincarnation|pretty|caterpillar|glow up|monarchs|wings|rebirth|transform|catching|meadow|love|spring|nature|pixie|silks|bug
🐛,მწერი|მავნებელი|მუხლუხო|ჭია|ხოხვა|მატლი|ბაგი|ბუნება,bug|insect|worm|caterpillar|butterfly|bugs|insects|sericulturalist|silks|worms|nature|silkweaver|garden|cute
🐜,ჭიანჭველა|პატარა|მშრომელი|მწერი|მუშა|შრომისმოყვარე,ant|bug|insect|anteater|aardvark|itching|echidna|bugs|insects|mounds|pangolin|hardworking|busy|inhabitants|organisms|worker|crumbs|picnickers|tiny
🐝,ფუტკარი|თაფლი|კრაზანა|მწერი|სკა|ცვილი|ქარვა|ყვავილის მტვერი|მუშა|მუშაობა|ბიონსე,honeybee|beekeeper|bee|honey|pollen|amber|apiarist|stinging|wasp|insect|sweet|swelling|honey pot|fuzzy|sunflower|busy|hovering|stripes|hive|queens|sharp|queen b
🪲,ხოჭო|მწერი|ციცინათელა|ბუნება,beetle|bug|insect|nature
🐞,ჭიამაია|ჭამაია|მწერი|ბედნიერება|ჭამიასულა|ხოჭო|ჭამიასურა|იღბალი,lady beetle|ladybug|bug|insect|ladybeetle|lucky|ladybird|spots|beetle|ant|red|cute|bugs|insects|luck
🦗,კალია|მწერი|ჭრიჭინა|სიჩუმე|უხერხულობა|მწვანე,cricket|grasshopper|insect|ant|noise|silence|sound|awkward|bug
🪳,ტარაკანი|მავნებელი|საშინელება|ცოცხალი|ფუი|ჭუჭყი|ტარაკანა|მწერი|პარაზიტი,cockroach|pest|bug|roach|dirty|insect|gross|disgusting|ew
🕷️,ობობა|ქსელი|ჰელოუინი|საშიში|სპაიდერმენი|შიში|მწერი,spider|bug|insect|web|spider-man|spiders|creepy|halloween|bugs|insects|spooky|weaver|spiderman|silks|scary|weavers|dew|dewy|fearing|arachnid
🕸️,ობობა|ქსელი|ობობის ქსელი|ჰელოუინი|აბლაბუდა|სხვენი|ინტერნეტი|ძველი|მოჩვენება,spider web|spider|web|spooky|ghost|weaver|net maker|halloween|sticky|threads|dusty|filaments|spiders|weaving|cobweb|spiderweb|attics|ghosts|netmaker|spider-man|weavers|wires|basements|scary|internet|net|old
🦂,მორიელი|შხამიანი|ზოდიაქო|საშიში|უდაბნო,scorpion|scorpio|astrologers|venom|desert|poison|scary|insect|zodiac|sting
🦟,კოღო|სისხლისმსმელი|ზაფხული|მავნებელი|ტოქსიკური|მწერი|სისხლი,mosquito|bug|swamp|malaria|swamps|mire|itching|insect|summer|biting|blood|disease|bugs|insects|sucking|fever|annoyed|bog|bogs|fen|fens|muggy|fly|pest|bite|virus
🪰,ბუზი|მწერი|ჭუჭყიანი|ნაგავი|მფრინავი,fly|pest|insect|buzz|disease|dirty|maggot|gross|bug|rotting
🪱,ჭიაყელა|მიწა|თევზაობა|კომპოსტი|ნიადაგი|ჰუმუსი|ჭია,worm|soil|dirt|worms|earthworm|compost|fertilizer|garden|annelid|parasite|mud|bug
🦠,ვირუსი|ბაქტერია|ვირუსული|მიკრობი|ვაქცინა|ავადმყოფობა|კოვიდი|კორონა,microbe|bacteria|germ|algae|plankton|virus|disease|cells|germs|infection|organisms|viruses|amoeba|covid
💐,ყვავილები|თაიგული|ვარდების თაიგული|ყვავილების თაიგული|ყვავილების ლარნაკი|საჩუქარი|დღესასწაული|ყვავილოვანი|გილოცავ|იუბილარი|მილოცვა|ყვავილი|ყურადღება|პაემანი,bouquet|florist|flower|flowers|bouquets|florists|nosegays|posies|tulip|gift|romance|sprays|thank you|thanks|love|mothers|pleasing|rose|date
🌸,გაზაფხული|ყვავილი|მიხაკი|ყვავილები|ბაღი|იასამანი|ლამაზი|პეპელა|ორქიდეა|სუნამო|სურნელოვანი|საკურა|ია|მადლობა|ბროში|ალერგია|ნუში|ბუნება|ალუბლის ყვავილი|გაზაფხულის მოსვლა|გერბერა|ვარდისფერი|ზაფრანა|მარტი|სურნელი|ყვავილის მტვერი|ყვავილოვანი|ჩემო ლამაზო|სილამაზე|ფუტკარი|აპრილი|დილა მშვიდობისა|ენძელა|ვარდისფერი ღვინო|იოგა|მამიდა|მერცხალი|მინდვრის ყვავილები|პირველი ყვავილი|სამოთხე|სუფრის გადასაფარებელი|ბაღის სკამი|კვირტი|მდელო|პარკი|სინაზე|ტიტები|ქალწული|ყნოსვა|ჩემო კარგო|იაპონია|არაფრის|აღდგომა|დობა|ეზო|თმის სამაგრი|კაბა|კეთილი სურვილები|ლამბაქი|მზიანი დღე|მშვიდობიანი დღე|მცენარე|სიკეთე|ფინჯანი|ქოთანი|ყვავილების ლარნაკი|ჩაის ფინჯანი|წყალობა|ხარება|ანიმე,cherry blossom|florist|flower|garden|meadow|garlands|spring|beautiful|heath|tulip|perfume|pollen|butterfly|wreaths|aesthetic|blooming|botanical garden|delicate|petal|pretty|soft|goddess|sakura|botanists|corsages|florists|gardeners|lovely|smelling|anime|nosegays|posies|botanist|delulu|lei|dew|dewy|gentle|pleasant|aunts|bouquet|bouquets|bud|embroiderer|festoons|ladybug|springs|vase|pink|godmothers|greeting|mothers|nature|pixie|strolling|ur welcome|welcoming|you're welcome|embroidery|macaron|sneeze|sneezing|blossom|daughters-in-law|fairy|herbalists|mothers-in-law|plant|yoga|cute|cherry
💮,ბეჭედი|თეთრი ყვავილი|იაპონური ნიშანი|იაპონური|ყვავილი,white flower|cherry blossom|japanese|flower|stamp|japan
🪷,ლოტოსი|ლილია|ორქიდეა|ბუდიზმი|იოგა|ყვავილი|მშვიდობა,lotus|flower|buddhism|purity|zen|yoga|spiritual|peace|hinduism|clean|meditation
🏵️,ორქიდეა|როზეტი|ყვავილის ორნამენტი|ორდენი|ყვავილი|გერბერა|ორნამენტი,rosette|decoration|ladybug|flower|award|plant|orange
🌹,ვარდი|ყვავილი|პაემანი|მარიამობა|ასკილი|ვარდები|თეთრი ვარდი|მიხაკი|ყვითელი ვარდი|წითელი ვარდი|სიყვარული|ყვავილები|გენაცვალე|ვალენტინობა|ვარდების თაიგული|თამარ მეფე|საყვარელი|ჩემო კარგო|ჩემო სიყვარულო|წითელი|ბაღი|ბულბული|გამარჯობა|დედა|პატივისცემა|პოეტი|რომანტიკა|სიღნაღი|ტანგო|ღვთისმშობელი,rose|flower|boutonnieres|corsages|hopeless romantic|blooming|love|bouquets|petal|stem|florists|happy anniversary|lovely|nosegays|perfume|suitors|wooers|beautiful|red|florist|tango|thanks|ruby|romance
